货物出口到香港包括九龙或澳门寸仓火险责任扩展条款,_FIRE_RISK_EXTENSION_CLAUSEFOR
诺沃西比尔斯克新西伯利亚,_NOVOROSSIYSK
追随者的市场份额增长战略,_SHAREGROWTH_STRATEGIES_FOR
华北计算机系统工程研究所,_NORTH_COMPUTER_SYSTEM
装运港船上交货指定装运港,_FREE_ON_BOARDNAMED_PORT_OF
北京市劳动保护科学研究所,_BEIJING_MUNICIPAL_INSTITUTE_OF
中国地震局兰州地震研究所,_LANZHOU_EARTHQUAKE_RESEARCH
纽约州立大学宾汉姆顿分校,_BINGHAMTON_UNIVERSITY_STATE
马克思主义民族理论与政策,_MARXIST_ETHNIC_THEORY_AND
中华人民共和国新闻出版署,_THE_PRESS_AND_PUBLICATIONS
中国航天科工集团公司基地,_CHINA_AEROSPACE_SCIENCE_AND
后者居上型新产品开发战略,_SECONDBUTBETTER_NEWPRODUCT
中国建筑材料科学研究总院,_CHINA_BUILDING_MATERIALS
目的港船上交货指定目的港,_DELIVERED_EX_SHIP_NAMED_PORT
科学事业单位会计报表分析,_SCIENTIFIC_RESEARCH
马萨诸塞大学阿默斯特分校,_UNIVERSITY_OF_MASSACHUSETTS
圣彼得堡国立信息技术大学,_ITMO_UNIVERSITY
全国人民代表大会各委员会,_COMMITTEE_OF_THE_NPC
中国人民解放军北京卫戍区,_BEIJING_GARRISON_OF_HE_PLA
江苏省血吸虫病防治研究所,_JIANGSU_INSTITUTE_OF_PARASITIC
虚心使人进步骄傲使人落后,_MODESTY_HELPS_ONE_GO_FORWARD
目的港码头交货指定目的地,_DELIVERED_EX_QUAY_NAMED_PORT
地图制图学与地理信息工程,_CARTOGRAPHY_AND_GEOGRAPHIC
中国人民解放军上海警备区,_SHANGHAI_GARRISON_OF_THE_PLA
中国地震局工程力学研究所,_RESEARCH_INSTITUTE_OF
核工业北京化工冶金研究院,_BEIJING_RESEARCH_INSTITUTE_OF
中国人民武装警察部队学院,_THE_CHINESE_ARMED_POLICE
北京市环境保护科学研究院,_BEIJING_MUNICIPAL_RESEARCH
保全措施又称临时保护措施,_INTERIM_MEASURES_OF_PROTECTION
运输代理人的承运货物收据,_FORWARD_CARGO_RECEIPTFCR
行政单位年终清理和结转,_YEAREND_CHECKING_AND_CLOSING
财政总预算会计年终结账,_PUBLIC_FINANCE_BUDGETARY
国际贸易经济合作研究院,_CHINESE_ACADEMY_OF
阿卜杜勒阿齐兹国王大学,_KING_ABDULAZIZ_UNIVERSITY
纽约州立大学水牛城分校,_UNIVERSITY_AT_BUFFALO
​国际业余舞蹈家理事会,_INTERNATIONAL_COUNCIL_OF
国家经济体制改革委员会,_STATE_COMMISSION_FOR_ECONOMIC
中共中央纪律检查委员会,_CENTRAL_COMMISSION_FOR
中国人民解放军军事院校,_PLA_MILITARY_ACADEMIES
中国人民解放军沈阳军区,_PLA_SHENYANG_MILITARY_AREA
可擦去可编程只读存储器,_EPROM
产品生命周期的成熟阶段,_MATURE_STAGE_OF_PRODUCT_LIFE
销售额百分比促销预算法,_PERCENTAGE_OF_SALES_PROMOTION
资源配置的资产组合模式,_PORTFOLIO_MODELS_FOR_RESOURCE
班轮条件船方负担装卸费,_LINER_TERMS
付款交单凭信托收据借单,_DOCUMENTARY_AGAINST_PAYMENT
中国国际贸易促进委员会,_CHINA_COUNCIL_FOR_THE
中日友好临床医学研究所,_CHINA_JAPANESE_FRIENDSHIP
中国科学技术信息研究所,_INSTITUTE_OF_SCIENCE_AND
加州大学圣塔芭芭拉分校,_UNIVERSITY_OF_CALIFORNIA_SANTA
内布拉斯加大学林肯分校,_UNIVERSITY_OF_NEBRASKALINCOLN
国务院农村发展研究中心,_RURAL_DEVELOPMENT_RESEARCH
中国人民解放军军事法院,_PLA_MILITARY_COURT
中国人民解放军国防大学,_PLA_UNIVERSITY_OF_NATIONAL
中国人民解放军南京军区,_PLA_NANJING_MILITARY_AREA
中华全国归国华侨联合会,_ALLCHINA_FEDERATION_OF
行业吸引力业务地位矩阵,_INDUSTRY
成本加运保费指定目的港,_COST_INSURANCE_AND
北京橡胶工业研究设计院,_BEIJING_RESEARCH_AND_DESIGN
军事后勤学与军事装备学,_SCIENCE_OF_MILITARY_LOGISTICS
中央整党工作指导委员会,_CENTRAL_PARTY_CONSOLIDATION
中国人民解放军济南军区,_PLA_JINAN_MILITARY_AREA
合并主体的所得税会计美,_ACCOUNTING_FOR_INCOME_TAXES_OF
行政管理人员群体意见法,_JURY_OF_EXECUTIVE_OPINION
美国调查研究组织委员会,_THE_COUNCIL_OF_AMERICAN_SURVEY
中国水利水电科学研究院,_CHINA_INSTITUTE_OF_WATER
德克萨斯大学奥斯汀分校,_UNIVERSITY_OF_TEXAS_AT_AUSTIN
伦敦大学皇家霍洛威学院,_ROYAL_HOLLOWAY_UNIVERSITY_OF
外国语言学与应用语言学,_LINGUISTICS_AND_APPLIED
国防科学技术工业委员会,_COMMISSION_OF_SCIENCE
中华人民共和国海关总署,_GENERAL_ADMINISTRATION_OF
中国人民解放军第二炮兵,_PLA_SECOND_ARTILLERY_FORCES
中国人民解放军军事学院,_PLA_MILITARY_ACADEMY
中国人民解放军广州军区,_PLA_GUANGZHOU_MILITARY_AREA
产品生命周期的推出阶段,_INTRODUCTORY_STAGE_OF_PRODUCT
瓦利斯群岛和富图纳群岛,_WALLIS_AND_FUTUNA
美国材料试验协会的标准,_AMERICAN_SOCIETY_OF_TESTING
石油勘探开发科学研究院,_RESEARCH_INSTITUTE_OF
中国食品发酵工业研究院,_CHINA_NATIONAL_RESEARCH
通过广告媒体的直接营销,_DIRECT_MARKETING_VIA
马里兰大学学院公园分校,_UNIVERSITY_OF_MARYLAND_COLLEGE
伊利诺伊大学芝加哥分校,_UNIVERSITY_OF_ILLINOIS_AT
中央爱国卫生运动委员会,_CENTRAL_PATRIOTIC_PUBLIC
中国人民解放军各军兵种,_PLA_ARMS_AND_SERVICES
中国人民解放军政治学院,_PLA_POLITICAL_ACADEMY
中国人民解放军成都军区,_PLA_CHENGDU_MILITARY_AREA
中国城市规划设计研究院,_CHINA_ACADEMY_OF_URBAN
中国社会科学院研究生院,_GRADUATE_SCHOOL_OF_CHINESE
科罗拉多大学博尔德分校,_UNIVERSITY_OF_COLORADO_BOULDER
印第安纳大学伯明顿分校,_INDIANA_UNIVERSITY
按销售职能组织销售队伍,_FUNCTIONAL_ORGANIZATION_OF
军事思想学及军事历史学,_MILITARY_THOUGHT_AND_MILITARY
人大常委法制工作委员会,_COMMISSION_OF_LEGISLATIVE
中国人民解放军后勤学院,_PLA_LOGISTICS_ACADEMY
中国人民解放军兰州军区,_PLA_LANZHOU_MILITARY_AREA
中华全国台湾同胞联谊会,_ALLCHINA_FEDERATION_OF_TAIWAN
分销渠道控制的推式战略,_PUSH_STRAGTEGY_FOR_CONTROL_OF
单一类型产品专营连锁店,_SINGLELINE_MASSMERCHANDISER
中国现代国际关系研究所,_CHINA_INSTITUTES_OF
中国人民银行金融研究所,_FINANCIAL_RESEARCH_INSTITUTE
上海船舶运输科学研究所,_SHANGHAI_SHIP_AND_SHIPPING
船方不管装卸理舱和平舱,_FREE_IN_AND_OUT_STOWED_AND
中国药品生物制品检定所,_NATIONAL_INSTITUTE_FOR_THE
中国地震局分析预报中心,_ANALYZE_AND_FORECAST_CENTER
威斯康辛大学麦迪逊分校,_UNIVERSITY_OF_WISCONSINMADISON
德克萨斯大学达拉斯分校,_UNIVERSITY_OF_TEXAS_AT_DALLAS
农业生物环境与能源工程,_AGRICULTURAL_BIOLOGICAL
中央国家机关工作委员会,_WORK_COMMITTEE_OF_CENTRAL
金属氧化物半导体存储器,_CMOS
产品生命周期的成长阶段,_GROWTH_STAGE_OF_PRODUCT_LIFE
中国日用化学工业研究院,_CHINA_RESEARCH_INSTITUTE_OF
实务协会罢工险条款货物,_INSTITUTE_STRIKES_CLAUSESCARGO
估价和原产地联合证明书,_COMBINED_CERTIFICATE_OF_VALUE
违反担保或违反随附条件,_BREACH_OF_WARRANTY
财政总预算会计年终清理,_PUBLIC_FINANCE_BUDGETARY
航空宇航推进理论与工程,_AEROSPACE_PROPULSION_THEORY
国家语言文字工作委员会,_STATE_LANGUAGE_WORK_COMMITTEE
中国人民解放军北京军区,_PLA_BEIJING_MILITARY_AREA
记账凭证汇总表核算形式,_BOOKKEEPING_PROCEDURE_USING
中华全国新闻工作者协会,_ALLCHINA_JOURNALISTS
总时差，或目标完成日期,_TOTAL_FLOAT_OR_TARGET_FINISH
多目标市场间的相互作用,_INTERACTIONS_ACROSS_MULTIPLE
高等学校会计报表分析,_COLLEGES_AND_UNIVERSITIES
南京电力自动化研究院,_NANJING_ACADEMY_OF_ELECTRIC
卫生部老年医学研究所,_RESEARCH_INSTITUTE_OF
密歇根大学安娜堡分校,_UNIVERSITY_OF_MICHIGAN
野生动植物保护与利用,_WILDLIFE_CONSERVATION_AND
儿少卫生与妇幼保健学,_MATERNAL_CHILD_AND_ADOLESCENT
国务院台湾事务办公室,_TAIWAN_AFFAIRS_OFFICE_OF_THE
中央政治局常务委员会,_STANDING_COMMITTEE_OF_THE
中国人民对外友好协会,_CHINESE_PEOPLES_ASSOCIATION
没有权力或理由做某事,_HAVE_NO_BUSINESS
营销生产力领域的审计,_MARKETING_PRODUCTIVITY_AREA
衰退市场的相对吸引力,_RELATIVE_ATTRACTIVENESS_OF
批发商发起的自愿连锁,_WHOLESALERSPONSORED_VOLUNTARY
轻工业环境保护研究所,_LIGHT_INDUSTRY_ENVIRONMENT
国家海洋环境预报中心,_NATIONAL_MARINE_ENVIRONMENT
留得青山在不怕没柴烧,_WHERE_THERE_IS_LIFE_THERE_IS
你看贸易咨询商品等级,_GRADE_OF_GOODS
完税后交货指定目的港,_DELIVERED_DUTY_PAIDNAMED_PLACE
卸到岸看着国际贸易上,_CIF_LANDED_CIF
科学事业单位财务制度,_FINANCIAL_REGULATIONS_FOR
财政部财政科学研究所,_RESEARCH_INSTITUTE_FOR
加州大学圣克鲁兹分校,_UNIVERSITY_OF_CALIFORNIA_SANTA
人体解剖与组织胚胎学,_HUMAN_ANATOMY_HISTOLOGY_AND
国务院机关事务管理局,_BUREAU_OF_GOVERNMENT_OFFICES
国家进出口商品检验局,_STATE_ADMINISTRATION_FOR_THE
汇总记账凭证核算形式,_BOOKKEEPING_PROCEDURE_USING
进取型新产品开发战略,_PROACTIVE_NEWPRODUCT
美国公共意见研究协会,_THE_AMERICAN_ASSOCIATION_FOR
北京有色金属研究总院,_GENERAL_RESEARCH_INSTITUTE_FOR
中国疾病预防控制中心,_NATIONAL_INSTITUTE_FOR_THE
海洋运输散装桐油保险,_OCEAN_MARINE_INSURANCE_WOOD
好事不出门恶事传千里,_GOOD_NEWS_NEVER_GOES_BEYOND
恶意怨恨不顾刁难欺侮,_SPITE
北京市创伤骨科研究所,_BEIJING_WOUND_ORTHOPAEDICS
中国原子能科学研究院,_CHINA_INSTITUTE_OF_ATOMIC
加州大学圣地亚哥分校,_UNIVERSITY_OF_CALIFORNIA_SAN
伦敦大学伯克贝克学院,_BIRKBECK_UNIVERSITY_OF_LONDON
纽约州立大学石溪分校,_STONY_BROOK_UNIVERSITY
粒子物理与原子核物理,_PARTICLE_PHYSICS_AND_NUCLEAR
农产品加工及贮藏工程,_PROCESSING_AND_STORAGE_OF
水土保持与荒漠化防治,_SOIL_AND_WATER_CONSERVATION
可扩展样式表语言转换,_ETENSIBLE_TYLESHEET_ANGUAGE
部委归口管理的国家局,_STATE_BUREAUS_UNDER_THE
中国国民党革命委员会,_REVOLUTIONARY_COMMITTEE_OF_THE
中国残疾人福利基金会,_CHINA_WELFARE_FUND_FOR_THE
期末存货的未实现损益,_UNREALIZED_PROFIT_IN_ENDING
现行成本稳值货币会计,_CURRENT_COSTGENERAL_PURCHASING
计划完成工作预算成本,_BUDGETED_COST_OF_WORK
独享所有权的进入战略,_SOLE_OWNERSHIP_ENTRY_STRATEGY
供应商的讨价还价能力,_SUPPLIERS_BARGAINING_POWER
中国民用航空飞行学院,_CHINA_CIVIL_AVIATION_FLYING
上海市计算技术研究所,_SHANGHAI_INSTITUTE_OF
海洋运输冷藏货物保险,_OCEAN_MARINE_INSURANCE_FROZEN
交通部公路科学研究所,_HIGHWAY_SCIENTIFIC_RESEARCH
无指示无定单不指定人,_NO_ORDERSNO
成本加运费指定目的港,_COST_AND_FREIGHT_NAMED_PORT_OF
政府及非营利组织会计,_GOVERNMENTAI_AND_NONPROFIT
高等学校预算管理方式,_BUDGET_MANAGEMENT_METHOD_OF
广东省心血管病研究所,_GUANGDONG_CARDIOVASCULAR
检测技术与自动化装置,_DETECTION_TECHNOLOGY_AND
水产品加工及贮藏工程,_PROCESSING_AND_STORAGE_OF
公司间的长期资产业务,_INTERCOMPANY_TRANSACTIONS_IN
跨国经营企业业绩评价,_MULTINATIONAL_PERFORMANCE
营销计划的执行和控制,_IMPLEMENTATION_AND_CONTROL_OF
波斯尼亚和黑塞哥维那,_BOSNIA_AND_HERZEGOVINA
空船排水量或清排水量,_LIGHT_DISPLACEMENT
预定开国际贸易航时间,_ESTIMATED_TIME_OF_DEPARTUREETD
领事你看国际贸易签证,_CONSULAR_VISA
中华人民共和国预算法,_THE_BUDGET_LAW_OF_THE_PEOPLES
伦敦大学玛丽女王学院,_QUEEN_MARY_UNIVERSITY_OF
夏威夷大学马诺阿分校,_UNIVERSITY_OF_HAWAI_AT_MNOA
印度理工学院孟买分校,_INDIAN_INSTITUTE_OF_TECHNOLOGY
地图学与地理信息系统,_CARTOGRAPHY_AND_GEOGRAPHY
多线程服务器应用程序,_MULTITHREADED_SERVER
动力工程及工程热物理,_POWER_ENGINEERING_AND
微电子学与固体电子学,_MICROELECTRONICS_AND_SOLID
纺织材料与纺织品设计,_TEXTILE_MATERIAL_AND_TEXTILE
中国人民解放军装甲兵,_PLA_ARMOURED_FORCES
多栏式日记账核算形式,_BOOKKEEPING_PROCEDURE_USING
圣文森特和格林纳丁斯,_SAINT_VINCENT_AND_THE
世上无难事只要肯攀登,_WHERE_THERE_IS_A_WILL_THERE
行政单位会计报表分析,_ANALYSIS_OF_ACCOUNTING
科学事业单位会计制度,_ACCOINTING_REGULATIONS_FOR
中国核动力研究设计院,_CHINA_NUCLEAR_RESEARCH_AND
宾州州立大学公园分校,_PENNSYLVANIA_STATE_UNIVERSITY
爱尔兰皇家外科医学院,_ROYAL_COLLEGE_OF_SURGEONS_IN
伦敦大学金史密斯学院,_GOLDSMITHS_UNIVERSITY_OF
大地测量学与测量工程,_GEODESY_AND_SURVEY_ENGINEERING
英国皇家舞蹈教师协会,_IMPERIAL_SOCIETY_OF_TEACHER_OF
国家进出口商品检验局,_STATE_ADMINISTRATION_FOR_THE
中国人民解放军各总部,_PLA_GENERAL_DEPARTMENTS
中国人民解放军通信兵,_PLA_SIGNAL_FORCES
中国天主教教务委员会,_NATIONAL_ADMINISTRATIVE
相关成本与非相关成本,_RELEVANT_COST_AND_IRRELEVANT
现代管理会计专门方法,_SPECIAL_METHODS_OF_MODERN
对外经济合作企业会计,_ACCOUNTING_OF_FOREIGN_ECONOMIC
现有产品的改良或修正,_IMPROVEMENTS_IN_OR_REVISIONS
反应型新产品开发战略,_RESPONSIVE_STRATEGY
北京市市政工程研究院,_BEIJING_GENERAL_ENGINEERING
中冶集团建筑研究总院,_CENTRAL_RESEARCH_INSTITUTE_OF
诉讼其动词形式为适合,_SUITSUE
国际技术转让行动守则,_INTERNATIONAL_CODE_OF_CONDUCT
美国食品及药品管理局,_FOOD_AND_DRUG
行政单位预算管理办法,_BUDGET_MANAGEMENT_METHOD_OF
事业单位预算管理方式,_BUDGET_MANAGEMENT_METHODS_FOR
核工业西南物理研究院,_SOUTHWEST_INSTITUTE_OF_PHYSICS
组成材料和零部件市场,_COMPONENT_MATERIALS_AND_PARTS
四川抗菌素工业研究所,_SICHUAN_BACTERIOPHAGE_INDUSTRY
相关零售商的销售范围,_COVERAGE_OF_RELEVANT_RETAILERS
明尼苏达大学双城分校,_UNIVERSITY_OF_MINNESOTA
直接产品盈利性利润率,_DIRECT_PRODUCT_PROFITABILITY
中国少数民族语言文学,_CHINESE_ETHNIC_LANGUAGE_AND
生物化学与分子生物学,_BIOCHEMISTRY_AND_MOLECULAR
劳动卫生与环境卫生学,_OCCUPATIONAL_AND_ENVIRONMENTAL
国务院即中央人民政府,_STATE_COUNCIL_THE_CENTRAL
中国人民解放军工程兵,_PLA_ENGINEERING_CORPS
中国人民解放军各部队,_PLA_UNITS
破产受托人清算组会计,_TRUSTEE_ACCOUNTING
可擦可编程只读存储器,_EEPROM
卷好的腰部瘦肉连带皮,_ROLLEDPORKBELLY
目标与战略领域的审计,_OBJECTIVES_AND_STRATEGY_AREA
中国地震局地质研究所,_INSTITUTE_OF_GEOLOGY_CHINA
中国出入境检验检疫局,_CHINA_EXIT_AND_ENTRY
核工业北京地质研究院,_BEIJING_GEOLOGY_RESEARCH
营销职能的成本和效益,_COSTS_AND_BENEFITS_OF
防御性新产品开发战略,_DEFENSIVE_NEWPRODUCT
普渡大学西拉法叶分校,_PURDUE_UNIVERSITY
大气物理学与大气环境,_ATMOSPHERIC_PHYSICS_AND
中国文学艺术界联合会,_CHINA_FEDERATION_OF_LITERARY
与产品相关的行为变量,_PRODUCTRELATED_BEHAVIORAL
供应超级市场的批发商,_RACK_JOBBERS
郑州航空工业管理学院,_ZHENGZHOU_INSTITUTE_OF
吉林工程技术师范学院,_JILIN_TEACHERS_INSTITUTE_OF
中国地震局地震研究所,_EARTHQUAKE_RESEARCH_INSTITUTE
国际贸易术语解释通则,_INTERNATIONAL_RULES_FOR_THE
对自己的情感失去控制,_BE_BESIDE_ONESELF
担保信用证保证信用证,_GUARANTEE_LETTER_OF
底线盈亏一览结算线,_BOTTOM_LINE
电信科学技术研究院,_TELECOM_TECHNOLOGY_RESEARCH
中国计量科学研究院,_NATIONAL_INSTITUTE_OF
早期采购与后期采购,_EARLY_VS_LATE_ADOPTION
耶路撒冷希伯来大学,_HEBREW_UNIVERSITY_OF_JERUSALEM
惠灵顿维多利亚大学,_VICTORIA_UNIVERSITY_OF
天体测量与天体力学,_ASTROMETRY_AND_CELESTIAL
地球探测与信息技术,_GEODETECTION_AND_INFORMATION
航空宇航器制造工程,_MANUFACTURING_ENGINEERING_OF
中国科学技术史学会,_CHINESE_SOCIETY_OF_SCIENCE_AND
中国电视艺术家协会,_CHINESE_TELEVISION_ARTISTS
中华全国工商联合会,_ALLCHINA_FEDERATION_OF
中华全国学生联合会,_ALLCHINA_STUDENTS_FEDERATION
合并财务状况变动表,_CONSOLIDATED_STATEMENT_OF
实际成本与估计成本,_ACTUAL_COST_AND_ESTIMATED_COST
理论成本与应用成本,_THEORY_COST_AND_PRACTICE_COST
主要成本与加工成本,_PRIME_COSTS_AND_PROCESSING
价值与生活方式体系,_VALS
冷藏货物运输一切险,_ALL_RISKS_FOR_SHIPMENT_OF
海上货运单或海运单,_OCEAN_WAYBILL
中国工程物理研究院,_CHINESE_ENGINEERING_PHYSICS
北京生物制品研究所,_NATIONAL_VACCINE_AND_SERUM
经过考虑对改变主意,_THINK_BETTER_OF
贸易咨询详细装箱单,_DETAILED_PACKING_LIST
公路货物运输托运单,_CONSIGNMENT_BILL_FOR_HIGHWAY
商品期货交易委员会,_COMMODITY_FUTURES_TRADING
证实发票或签证发票,_CERTIFIED_INVOICE
运费付至指定目的地,_CARRIAGE_PAID_TO_NAMED_PLACE
投标保证金投标押金,_BID_BOND
武汉安全环保研究院,_SINOSTEEL_CORPORATION_WUHAN
上海国际问题研究所,_SHANGHAI_INSTITUTE_FOR
竞争均势促销预算法,_COMPETITIVE_PARITY_PROMOTION
美国消费品定价法案,_CONSUMER_GOODS_PRICING_ACT_USA
公司式垂直营销系统,_CORPORATE_VERTICAL_MARKETING
加州大学洛杉矶分校,_UNIVERSITY_OF_CALIFORNIA_LOS
伦敦大学圣乔治学院,_ST_GEORGE_UNIVERSITY_OF_LONDON
语言学及应用语言学,_LINGUISTICS_AND_APPLIED
水力学及河流动力学,_HYDRAULICS_AND_RIVER_DYNAMICS
农业昆虫与害虫防治,_AGRICULTURE_ENTOMOLOGY_AND
园林植物与观赏园艺,_ORNAMENTAL_PLANTS_AND
中国国际标准舞总会,_CHINA_BALLROOM_DANCE_FEDERATIO
中华人民共和国主席,_PRESIDENT_OF_THE_PEOPLES
国家建筑材料工业局,_STATE_BUREAU_OF_BUILDING
国家国有资产管理局,_STATE_ADMINISTRATION_OF_STATE
中国人民解放军空军,_PLA_AIR_FORCE
对境外实体的净投资,_NET_INVESTMENT_IN_FOREIGN
跨国资本成本的计算,_THE_COST_OF_CAPITAL_FOR
光纤分布式数据接口,_FDDI
已执行工作实际成本,_ACTUAL_COST_OF_WORK_PERFORMED
已执行工作预算成本,_BUDGETED_COST_OF_WORK
确定主要的环境问题,_KEY_ENVIRONMENTAL_ISSUE
低参与程度层级结构,_LOWINVOLVEMENT_HIERARCHY
营销功能领域的审计,_MARKETING_FUNCTION_AREA_AUDIT
黑龙江八一农垦大学,_HLJ_AUGUST_FIRST_LAND
以到岸品质重量为准,_LANDING_QUALITYWEIGHT_AS_FINAL
保守秘密不与人来往,_KEEP_TO_ONESELF
货交承运人指定地点,_FREE_CARRIERNAMED_PLACEFCA
管理式垂直营销系统,_ADMINISTERED_VERTICAL
波士顿增长份额矩阵,_BCG_GROWSHARE_MATRIX
石油化工科学研究院,_RESEARCH_INSTITUTE_OF
连锁商店的进货中心,_BUYING_OFFICES
中国气象科学研究院,_CHINESE_RESEARCH_ACADEMY_OF
上海生物制品研究所,_SHANGHAI_VACCINE_AND_SERUM
按客户组织销售队伍,_CUSTOMER_ORGANIZATION_OF_SALES
